CODIGO;TIPO;LOCALIDADE;AUTORES;TITULO;SUBTITULO;EDITORA;ANO;QTD_EXEMPLARES
141;Livro;Biblioteca SGA;CUNHA, Euclides da;Os sertões;;Martin Claret;2016;2
146;Livro;Biblioteca SGA;SUASSUNA, Ariano;Auto da Compadecida;;Agir;2005;5
147;Livro;Biblioteca SGA;Assis, Machado de;Dom Casmurro;;Martin Claret;2010;1
149;Livro;Biblioteca SGA;Medeiros, Irani;Fabião das Queimadas;de vaqueiro a cantador;CJA Edições;2017;2
153;Livro;Biblioteca SGA;Martins, Francisco;Seis faces de encanto;Obras reunidas: 50 anos de vida do autor;CJA Edições;2014;2
154;Livro;Biblioteca SGA;Souza, Ana Maria de Azevêdo;Espiritualidade, saudades e poesias;;CJA Edições;2015;2
155;Livro;Biblioteca SGA;Lima, Jorge de ;Invenção de Orfeu;;Alfaguara;2017;2
158;Livro;Biblioteca SGA;Melo Neto, João Cabral;O livro da Matemática;;Objetiva;2020;2
159;Livro;Biblioteca SGA;Shakespeare, William;A tragédia de Otelo;o Mouro da Veneza;Martin Claret;2014;2
168;Livro;Biblioteca SGA;SUASSUNA, Ariano;A pena e a lei;;Agir;2005;6
169;Livro;Biblioteca SGA;BANDEIRA, Manuel;Libertinagem;;Global Editora;2013;2
170;Livro;Biblioteca SGA;Melo, Veríssimo de;Superstições de São João ;;Sebo Vermelho;2002;1
171;Livro;Biblioteca SGA;AMADO, Jorge;Capitães da areia;;Companhia das Letras;2008;2
172;Livro;Biblioteca SGA;AMADO, Jorge;Gabriela, Cravo e Canela;;Companhia das Letras;2012;1
173;Livro;Biblioteca SGA;Fernandes, Raul;Ultimatos de Lampião e respostas de Rodolfo Fernandes;;Sebo Vermelho;2006;1
174;Livro;Biblioteca SGA;ARAÚJO, Adriano;O mundo que me cabe;palavras, palavras e pequenas invenções;Edição do autor;2014;1
180;Livro;Biblioteca SGA;BARCONI, João;Da insatisfação à loucura;;CJA Edições;2014;1
181;Livro;Biblioteca SGA;LEE, Nassary;Entre becos e sonhos;;CJA Edições;2013;2
182;Livro;Biblioteca SGA;ANDRADE, João;Livro de palavra;;Bizu;2013;1
187;Livro;Biblioteca SGA;OLIVEIRA, Antônio Carlos Matos de;Coisas de Matuto;;CJA Edições;2014;2
189;Livro;Biblioteca SGA;NEVES, Alfredo;O Amor Revelado;;CJA Edições;2015;2
191;Livro;Biblioteca SGA;MARTINS, Jarbas;44 Haicas;;8 editora ;2014;1
195;Livro;Biblioteca SGA;FERREIRA, Fançois de Oliveira;O sol é meu manifesto;e outros poemas de definição;CJA Edições;2014;2
196;Livro;Biblioteca SGA;LEMOS, Yasmine;Rascunhos;;Offset Gráfica;2010;3
204;Livro;Biblioteca SGA;FERNANDES, Gustavo dos Santos;Inquietudes;Ielmo Marinho em versos;CJA Edições;2013;2
205;Livro;Biblioteca SGA;FERNANDES, Rizolete;Vento da tarde;;Sarau das Letras;2013;1
206;Livro;Biblioteca SGA;Fernandes, Rizolete;Canções de Abril;;Una;2010;1
207;Livro;Biblioteca SGA;CASTRO, José de;Apenas palavras;;CJA Edições;2015;4
209;Livro;Biblioteca SGA;Hawking, Stephen William;Minha breve história;;Intrínseca;2013;2
217;Livro;Biblioteca SGA;Souza, Ana Maria de Azevêdo;De Cunhaú a Uruaçu;mártires do amor e da fé ;CJA Edições;2017;2
218;Livro;Biblioteca SGA;Carmona, Léia;O único sobrevivente;;CJA Edições;2014;1
245;Livro;Biblioteca SGA;COLOMBIÉRI, Ana Maria da Câmara;Artigos;;CJA Edições;2015;2
252;Livro;Biblioteca SGA;TAVARES, Clotilde;A Botija;;Editora 34;2011;2
262;Livro;Biblioteca SGA;SILVA, Edivan;O poder do Marketing de atitude;tenha o mundo em suas mãos ;CJA Edições;2014;1
263;Livro;Biblioteca SGA;SILVA, Edivan;O Poder da Iniciativa;como sair da sua zona de conforto e praticar o otimismo;CJA Edições;2014;2
275;Livro;Biblioteca SGA;RAMOS, Graciliano;Vidas Secas;;Record ;2018;2
277;Livro;Biblioteca SGA;NOGUEIRA, Peterson;Outros:deuses;;CJA Edições;2015;1
286;Livro;Biblioteca SGA;Mesquita, Valério Alfredo;A paisagem e o tempo;;RN Econômico;2011;1
287;Livro;Biblioteca SGA;Lima, Diógenes da Cunha;Livro das respostas ;(face ao libro de las preguntas de Pablo Neruda);Massao Ohno Editor;2002;1
288;Livro;Biblioteca SGA;Azevedo Júnior, Aluísio;Ubaia doce;;Taba Cultural;2009;1
289;Livro;Biblioteca SGA;Silva, Roberto da;Luis, toujours lui;cartas de Câmara Cascudo a Bernard Alléguède;Sebo Vermelho;2002;1
290;Livro;Biblioteca SGA;DALBERTO, Junior;Pipa voadas sore brancas dunas;;CJA Edições;2015;1
294;Livro;Biblioteca SGA;Doyle, Arthur Conan, Linarth, Casemiro;Sherlock Holmes ;o signo dos quatro;Martin Claret;2018;2
297;Livro;Biblioteca SGA;LOPES, Raniere;A queda ;o livro da prisão;CJA Edições;2014;2
300;Livro;Biblioteca SGA;Riordan, Rick;Percy Jackson e os Olimpianos;;Intrínseca;2014;1
301;Livro;Biblioteca SGA;Brubaker, Ed, Guice, Butch, Breitweiser, Mitch, Deadato Júnior, Mike, Catarino, Pedro;Marvel delux;o julgamento do Capitão América;Panini Books;2017;2
302;Livro;Biblioteca SGA;FRANKILIN, Jorge, SOUSA, Adriano de;Actas diurnas;crônicas de Luís da Câmara Cascudo;Novo Jornal;2011;3
303;Livro;Biblioteca SGA;Baum, L. Frank;o mágico de Oz;;Autêntica Editora;2019;2
304;Livro;Biblioteca SGA;Bendis, Brian Michael , Maleev, Alexander , Lark, Michael;Marvel Deluxe - Demolidor;o demônio do pavilhão D;Panini Books;2018;2
306;Livro;Biblioteca SGA;CAMÕES, Luís de;Os Lusíadas;;Martin Claret;2017;2
308;Livro;Biblioteca SGA;MENDES, Odorico Mendes, Homero;Odisséia;;Martin Claret;2018;2
309;Livro;Biblioteca SGA;MILTON, John;Paraíso Perdido;;Martin Claret;2018;2
310;Livro;Biblioteca SGA;Doyle, Arthur Conan, Linarth, Casemiro;Sherlock Holmes ;o vale do terror;Martin Claret;2018;2
311;Livro;Biblioteca SGA;Doyle, Arthur Conan, Linarth, Casemiro;Sherlock Holmes;o cão dos Baskervilles;Martin Claret;2018;2
313;Livro;Biblioteca SGA;DUARTE, Drika;Negra Onawale;;CJA Edições;2018;1
314;Livro;Biblioteca SGA;Doyle, Arthur Conan, Linarth, Casemiro;Sherlock Holmes;um estudo em vermelho;Martin Claret;2018;2
315;Livro;Biblioteca SGA;Shakespeare, William;Shakespeare Hamlet;;L&PM Pocket;2018;1
316;Livro;Biblioteca SGA;;Grandes encontros DC Comics;Dark Horse: Liga da Justiça;Panini Books;208;2
317;Livro;Biblioteca SGA;Fowles, John;O colecionador ;;Darkside books;2018;2
318;Livro;Biblioteca SGA;Cordenonsi, A. Z.;Sherlock e os aventureiros 2;o problema dos calculos maquinares;AVEC Editora;2017;3
319;Livro;Biblioteca SGA;Lasky, Katheryn;A lenda dos guardiões 1 ;a captura;Fundamento Editora;2010;2
320;Livro;Biblioteca SGA;Barrie, J. M., Bedford, F. D.;Peter Pan;;Autêntica Editora;2019;4
321;Livro;Biblioteca SGA;Shelley, Mary, Stevenson, Robert Louis, Stoker, Bram;Frankenstein, o médico e o mostro, Drrácula;;Martin Claret;2017;1
329;Livro;Biblioteca SGA;RAMOS, Lazaro;Na minha pele;;Objetiva;2017;1
330;Livro;Biblioteca SGA;Tahan, Malba;O homem que calculava;;Record ;2014;2
331;Livro;Biblioteca SGA;Sparks, Nicholas;Querido Jonh;;Ideia;2017;2
332;Livro;Biblioteca SGA;Zusak Markus;A menina que roubava livros;;Intrínseca;2013;2
333;Livro;Biblioteca SGA;Wells, H.G;A máquina do tempo;;Martin Claret;2018;2
334;Livro;Biblioteca SGA;Sandra, Werneck;olho a olho com Medusa;;CJA Edições;2017;1
335;Livro;Biblioteca SGA;Darwin, Charles;A origem das espécies;A origemdas espécies por meio da seleção ntural ou a preservação das raças favorecidas na luta pela vida ;Martin Claret;2014;2
336;Livro;Biblioteca SGA;Bown, Dan;O Código Da Vinci;;Arqueiro ;2004;1
339;Livro;Biblioteca SGA;Shakespeare, William, Viégas-Faria, Beatriz;Obras escolhidas;;L&PM;2016;1
343;Livro;Biblioteca SGA;Grahan, James ...[et al.], Buckingham, Will ... [et al.];O livro da Literatura;;Globo;2020;2
350;Livro;Biblioteca SGA;Austen, Jane;Orgulho e Preconceito;;Martin Claret;2018;2
351;Livro;Biblioteca SGA;Austen, Jane;Razão e Sensibilidade;;Martin Claret;2018;2
353;Livro;Biblioteca SGA;Austen, Jane;Persuasão;;Martin Claret;2018;2
354;Livro;Biblioteca SGA;Austen, Jane;Emma;;Martin Claret;2018;2
356;Livro;Biblioteca SGA;Kafka, Franz;O Processo;;Martin Claret;2011;2
357;Livro;Biblioteca SGA;Shelley, Mary;"Frankstein, O  médico e o monstro; drácula";;Martin Claret;2017;1
359;Livro;Biblioteca SGA;Gruen, Sara;Água para Elefantes;;Arqueiro ;2007;3
361;Livro;Biblioteca SGA;García, Gabriel Márquez;Cem anos de solidão;;Record ;2017;2
365;Livro;Biblioteca SGA;Guaarder, Jostein;O mundo de Sofia;;Companhia das Letras;2012;1
368;Livro;Biblioteca SGA;Dumas Filhos, Alexandre;A Dama das Camélias ;;Martin Claret;2014;1
369;Livro;Biblioteca SGA;Boyne, John;O menino do pijama listrado;;Companhia das Letras;2007;1
370;Livro;Biblioteca SGA;Naifeh, Steven;Van Gogh;a vida;Companhia das Letras;2012;1
371;Livro;Biblioteca SGA;Benítez, J.J.;Cavalo de troia 5;Cesareia ;Planeta do Brasil;2016;2
372;Livro;Biblioteca SGA;Benítez, J.J.;Cavalo de troia 9;Caná;Planeta do Brasil;2011;2
373;Livro;Biblioteca SGA;Twain, Mark;As aventuras de Huckleberry Finn;;L&PM;2011;2
374;Livro;Biblioteca SGA;Cervantes Saavedra, Miguel de;O engenhoso fidalgo;Dom Quixote de la Mancha;Martin Claret;2016;2
376;Livro;Biblioteca SGA;Lloyd, John;O Livro da ignôrancia generalizada;;Record ;2012;1
379;Livro;Biblioteca SGA;Hugo, Victor;Os miseráveis;;Martin Claret;2014;1
380;Livro;Biblioteca SGA;Hawthorne, Nathaniel;A Letra Escarlate;;Martin Claret;2016;2
382;Livro;Biblioteca SGA;Tolstói, Liev;Guerra e Paz I;;Companhia das Letras;2017;1
383;Livro;Biblioteca SGA;Steinbeck, John;As vinhas da ira;;BestBolso;2018;2
385;Livro;Biblioteca SGA;Spyri, Johana, Janini, Karina;Heidi, a menina dos Alpes 1;tempo de viajar e aprender;Autêntica Editora;2019;1
386;Livro;Biblioteca SGA;Sohr, Eduardo;A batalha do apocalipse;da queda dos anjos ao crepúsculo do mundo;Verus;2014;2
388;Livro;Biblioteca SGA;Sousa, Mauricio de;Cebolinha;planos infalíveis;Panini Books;2018;2
389;Livro;Biblioteca SGA;Austen, Jane;A abadia de Northanger;;Martin Claret;2018;2
392;Livro;Biblioteca SGA;Cordenonsi, A. Z.;Sherlock e os aventureiros 1;o mistério dos planos roubados;AVEC Editora;;3
393;Livro;Biblioteca SGA;Del, Col, Anthony;Assassin´s Creed;julgmento pelo Fogo;Panini Books;2018;2
395;Livro;Biblioteca SGA;Green, John, Romeiro, Juliana;Cidades de papel;;Intrínseca;2013;1
399;Livro;Biblioteca SGA;Osa, Nancy;A batalha da Coluna Zumbi;os guardiões do Mundo da Superficie;Nemo;2015;1
401;Livro;Biblioteca SGA;Cordenonsi, A. Z.;Le Chevalier e a exposição universal;;AVEC Editora;2014;2
402;Livro;Biblioteca SGA;Júnior Azevedo, Aluísio;Um novo cheiro de Café;;CJA Edições;2014;1
406;Livro;Biblioteca SGA;Lasky, Katheryn;A lenda dos guardiões 10;a vinda de Hoolea vinda de Hoole;Fundamento educacional;2013;2
408;Livro;Biblioteca SGA;Lima, Diógenes da Cunha;Memórias das águas;;Lidador;2005;1
409;Livro;Biblioteca SGA;King, Stephen;N.;;Darkside books;2018;1
412;Livro;Biblioteca SGA;Carneiro, Caio;Seja Foda!;fliz, otimista, determinado, abundante;Buzz Editora ;2017;1
416;Livro;Biblioteca SGA;Shakespeare, William, Viégas-Faria, Beatriz, Fernandes, Millôr;Obras escolhidas de William Shakespeare;;L&PM Pocket;2012;1
417;Livro;Biblioteca SGA;Saint-Exupery, Antoine de;O pequeno príncipe;;Giz Ediora;2015;2
451;Livro;Biblioteca SGA;Negreiros, Armando;A folga da dobra;;Pandora Comunicação;2005;1
453;Livro;Biblioteca SGA;MTC, Douglas;Betina Vlad e o castelo da noite eterna;;AVEC Editora;2018;2
454;Livro;Biblioteca SGA;;Xadrez;;DCL;2004;4
463;Livro;Biblioteca SGA;Dantas, Djacir;Música, arte e genialidade;;Jovens Escribas;2017;1
467;Livro;Biblioteca SGA;CARVALHO, Jadson;Névoa na escuridão;;CJA Edições;2017;2
469;Livro;Biblioteca SGA;Grahan, James ...[et al.], Trope, Christopher ...[et al.];O livro da Sociologia;;Globo;2020;2
479;Livro;Biblioteca SGA;Zusak Markus;A menina que roubava livros;;Intrínseca;2010;2
482;Livro;Biblioteca SGA;Knud, Illeris;Teorias Contemporâneas da aprendizagem;;Penso;2013;2
483;Livro;Biblioteca SGA;Lemov, Doug.;Aula nota 10 2.0;62 técnicas para melhorar a gestão da sala de aula.;Penso;2018;2
484;Livro;Biblioteca SGA;LOVECRAFT, H.p.;Grandes Contos ;;Martin Claret;2018;1
485;Livro;Biblioteca SGA;Zabala, Antoni;A prática educativa;como ensinar;Artmed;1998;1
487;Livro;Biblioteca SGA;Tardif, Maurice;Saberes Docentes e formação Profissional;;Vozes;2018;1
488;Livro;Biblioteca SGA;Santos, Milton;Por uma outra globalização;;Record ;2018;2
490;Livro;Biblioteca SGA;Price, Lissa;Starters;;Novo Conceito;2012;1
491;Livro;Biblioteca SGA;Price, Lissa;Enders;;Novo Conceito;2012;1
492;Livro;Biblioteca SGA;Terrill, Cristin;Todos os nossos ontens;;Novo Conceito;2015;1
493;Livro;Biblioteca SGA;Terrill, Cristin;Tempest;;Jangada;2012;1
494;Livro;Biblioteca SGA;Terrill, Cristin;Timestorm;;Jangada;2014;1
495;Livro;Biblioteca SGA;Terrill, Cristin;Vortex;;Jangada;2013;1
496;Livro;Biblioteca SGA;Bender, William N.;Aprendizagem baseada em projetos;educação diferenciada para o século XXI;Penso;2014;1
503;Livro;Biblioteca SGA;Davis, Ronald D.;O dom da dislexia;o novo método revolucionário de correção da dislexia e de outros transtornos de aprendizagem ;Rocco;2004;2
509;Livro;Biblioteca SGA;Spyri, Johana, Janini, Karina;Heidi, a menina dos Alpes 2;tempo de usar o que aprendeu;Autêntica Editora;2019;1
515;Livro;Biblioteca SGA;Brown, Dan;Fortaleza digital;;Sextante ;2005;1
516;Livro;Biblioteca SGA;Damen, Robbert, Geeven, Geert, Cronemberger, Carolina;Guardiã;sir Godfried: srta. Banning: doctor Lowe;AVEC Editora;2016;3
519;Livro;Biblioteca SGA;Lasky, Katheryn;A lenda dos guardiões;os contos perdidos de Ga'Hoole;Fundamento educacional;2014;2
520;Livro;Biblioteca SGA;Ferris, Julie;ideias que revolucionaram o mundo;;Publifolha;2011;1
522;Livro;Biblioteca SGA;;Arquitectura no século XX;;Taschen ;2001;1
526;Livro;Biblioteca SGA;O'Donnell Kevin;Conhecendo o mundo;;Rosari;2007;1
527;Livro;Biblioteca SGA;Self, David;Religiões do mundo;;Paulinas;2009;1
528;Livro;Biblioteca SGA;Santos, Francisco Canindé dos;fé x razão ou fé + razão;;CJA Edições;2013;1
529;Livro;Biblioteca SGA;;Os meus dias mais felizes ;;CMS Editora;2011;1
530;Livro;Biblioteca SGA;Ambalu, Shulamit ... [et al.], Alexander  Bruno;O livro das Religiões;;Globo;2020;2
532;Livro;Biblioteca SGA;Smith, Tom Rob;Criança 44;;Record ;2008;1
533;Livro;Biblioteca SGA;Brandão,Sérgio;Futebol;a bola contas sua história;Ciranda Cultural;2014;1
534;Livro;Biblioteca SGA;Goleman, Daniel;Inteligência emocional;a teoria revolucionária que redefine o que é ser inteligente;Objetiva;2012;2
535;Livro;Biblioteca SGA;Grahan, James ...[et al.], Wilkinson, Philip;O livro da Mitologia ;;Globo;2020;2
536;Livro;Biblioteca SGA;McCam, Hannah... [et al.];O livro do Feminismo;;Globo;2020;2
537;Livro;Biblioteca SGA;Yousafzai, Malala;Eu sou Malala;;Companhia das Letras;1. ed.;3
538;Livro;Biblioteca SGA;Leigh, Danny ... [et al.], Nuno, Fernando;O livro do Cinema ;;Globo;2020;2
539;Livro;Biblioteca SGA;Bugler, Caroline et al.;O Livro da Arte;;Global Editora;2020;2
540;Livro;Biblioteca SGA;Grahan, James ...[et al.], Kischtainy, Niall ... [et al.];O livro da Economia;;Globo;2020;2
541;Livro;Biblioteca SGA;Longo, Rafael .., [et al.];O livro dos Negócios;;Globo;2020;2
542;Livro;Biblioteca SGA;Hart-Davis, Adam et al.;O Livro da Ciência ;;Global Editora;2020;2
543;Livro;Biblioteca SGA;Paul, Kelly et al.;O Livro da Política;;Globo;2020;2
544;Livro;Biblioteca SGA;Schoeder, Julia ... [et al.];O livro da Ecologia;;Globo;2020;2
547;Livro;Biblioteca SGA;;O mundo das copas;as curiosidades, os momentos histórcos e os principais lances do maior espetáculo do esporte mundial;Lua de Papel;2010;1
548;Livro;Biblioteca SGA;Challoner, Jack , Baylis, Trevor;1001 invenções que mudaram o mundo;;Sextante ;2010;1
549;Livro;Biblioteca SGA;Goldstone, Nancy ;A donzela e a rainha;a história secreta de Joana D'arc;Seoman;2013;2
550;Livro;Biblioteca SGA;Academia Brasileira de Literatura de Cordel;100 cordéis históricos segundo a Academia de Literatura de Cordel;;Queima-Bucha;2008;1
551;Livro;Biblioteca SGA;Academia Brasileira de Literatura de Cordel;100 cordéis históricos segundo a Academia Brasileira de Literatura de Cordel;;Queima-Bucha;2008;1
552;Livro;Biblioteca SGA;Lobato, Monteiro;O saci;;Globinho;2016;3
553;Livro;Biblioteca SGA;Lobato, Monteiro, Moraes, Odilon;O minotauro;;Globinho;2017;3
557;Livro;Biblioteca SGA;Ziraldo;Maluquinho por esporte;;Globinho;2015;2
558;Livro;Biblioteca SGA;Ziraldo;Diário da Julieta;as histórias mais secretas da Menina Maluquinha;Global Editora;2017;2
559;Livro;Biblioteca SGA;Ziraldo;Diário da Julieta 3;o blog de férias da Menina Maluquinha;Globinho;2017;2
560;Livro;Biblioteca SGA;Ziraldo;Diário da Julieta 2;as hstórias mais secretas da Menina Maluquinha ;Globinho;2017;2
561;Livro;Biblioteca SGA;Ziraldo;Maluquinho por Futebol;as histórias mais malucas sobre a maior paixão do Brasol;Globinho;2010;2
566;Livro;Biblioteca SGA;SOBREIRA, Araceli;O espelho de Eloísa;e outras história de mulheres sábias;CJA Edições;2018;1
567;Livro;Biblioteca SGA;Lobato, Monteiro;O problema vital, Jeca Tatu e outros textos;;Globo;2010;2
568;Livro;Biblioteca SGA;Lobato, Monteiro, Le Blanc, André, Wise, K., Campos, J.;Caçadas de Pedrinho;;Biblioteca Azul;2015;3
569;Livro;Biblioteca SGA;Lobato, Monteiro, Le Blanc, André, Wise, K., Campos, J.;Cidades mortas;;Biblioteca Azul;2015;2
570;Livro;Biblioteca SGA;Lobato, Monteiro, Le Blanc, André, Wise, K., Campos, J.;América;;Globo;2009;2
571;Livro;Biblioteca SGA;SOUSA, Weid;Circo de poesias;;Ed. do autor;2018;2
572;Livro;Biblioteca SGA;Lobato, Monteiro, Guazzelli;A reforma da natureza;;Globinho;2016;3
573;Livro;Biblioteca SGA;Lobato, Monteiro, Guazzelli;Viagem ao céu;;Globinho;2016;3
574;Livro;Biblioteca SGA;Lobato, Monteiro, Teixeira, Elisabeth;Histórias diversas ;;Globinho;2017;3
575;Livro;Biblioteca SGA;Lobato, Monteiro;Dom quixote das crianças;;Globinho;2017;3
576;Livro;Biblioteca SGA;Frank, Anne, Frank, Otto H., Pressler, Mirjam;O Diário de Anne Frank;;Record ;2018;2
577;Livro;Biblioteca SGA;Lobato, Monteiro, Guazzelli;O picapau amarelo;;Globinho;2016;3
578;Livro;Biblioteca SGA;Lobato, Monteiro, Maia, Luiz;Aventuras de Hans Staden;;Globinho;2017;3
579;Livro;Biblioteca SGA;Lobato, Monteiro, Salomão, Fabiana;Peter Pan;;Globinho;2018;2
580;Livro;Biblioteca SGA;Lobato, Monteiro, Guazzelli;Caçadas de Pedrinho;;Globinho;2016;3
581;Livro;Biblioteca SGA;Lobato, Monteiro, Linhares, Alcy;Fábulas;;Globinho;2017;2
582;Livro;Biblioteca SGA;Grisham, John , Rodrigues, Aulyde Soares;O advogado;;Rocco;1998;1
583;Livro;Biblioteca SGA;Hawking, Stephen William, Raposo, Alexandre, Campos, Julia Sobral, Dias, Maria Carmelita ;Uma breve história do tempo;;Intrínseca;2013;1
584;Livro;Biblioteca SGA;Ribeiro, Darcy, Cardoso, Ana Paula;O povo brasileiro;a formação e o sentido do Brasil;Global Editora;2015;2
585;Livro;Biblioteca SGA;Hawking, Stephen William;O universo numa casca de noz;;Intrínseca;2016;2
586;Livro;Biblioteca SGA;José de Castro, Alexandre Souza, Castro, José de , Souza, Alexandre;Poemas bricantes;;CJA Edições;2017;2
587;Livro;Biblioteca SGA;Sirett, Dawn;Tratozinho e seus amigos;;Publifolha;2009;1
588;Livro;Biblioteca SGA;Byrne, Rhonda;O segredo;;Sextante ;2015;2
589;Livro;Biblioteca SGA;;Desafiadores do destino;disputa pelo controle;AVEC Editora;2018;2
590;Livro;Biblioteca SGA;Lobato, Monteiro, Stil;O minotauro;;Globo;2009;1
591;Livro;Biblioteca SGA;Cordenonsi, A. Z.;Sherlock e os aventureiros 3;o caso da conspiração biológica;AVEC Editora;2020;3
592;Livro;Biblioteca SGA;Ziraldo;Julieta no mundo da culinária;;Global Editora;2017;2
593;Livro;Biblioteca SGA;Ziraldo;Aventuras de Julieta;;Global Editora;2017;2
594;Livro;Biblioteca SGA;Ziraldo;Esportes Radicias;;Global Editora;2017;2
595;Livro;Biblioteca SGA;Ziraldo;Bocão e os bichos;;Global Editora;2010;2
596;Livro;Biblioteca SGA;Ziraldo;Viagens da Carolina;;Global Editora;2017;2
597;Livro;Biblioteca SGA;Ziraldo;Lúcio e os livros;;Global Editora;2017;2
598;Livro;Biblioteca SGA;Ziraldo;Pra que dinheiro?;;Global Editora;2017;2
599;Livro;Biblioteca SGA;Ziraldo;Shirley Valéria tá na moda;;Global Editora;2008;2
600;Livro;Biblioteca SGA;Ziraldo;O som da turma ;;Globinho;2009;2
601;Livro;Biblioteca SGA;Ziraldo;O Japão dos brasileiros;;Globinho;2010;2
602;Livro;Biblioteca SGA;Lobato, Monteiro, Arcon, Fernando;História do mundo para crianças;edição comentada;Globo;2015;1
603;Livro;Biblioteca SGA;Lobato, Monteiro, Fukue, Roberto;Geografia de Dona Benta;edição comentada;Globo;2013;1
604;Livro;Biblioteca SGA;Lobato, Monteiro, Oshei, Gomes, Hector;Emília no país da gramática;edição comentada;Globo;2009;1
605;Livro;Biblioteca SGA;Lobato, Monteiro, Simas, André;Dom quixote das crianças;;Globinho;2017;1
606;Livro;Biblioteca SGA;Lobato, Monteiro, Stil, Ortega, Denise, Arcon;Aventuras de Hans Staden;;Globinho;2009;1
607;Livro;Biblioteca SGA;Ziraldo;Maluquinho de família;;Globinho;2013;2
608;Livro;Biblioteca SGA;Ziraldo;25 anos do Menino Maluquinho;;Globinho;2013;2
609;Livro;Biblioteca SGA;Ziraldo;Maluquinho assombrado;;Globinho;2013;2
610;Livro;Biblioteca SGA;Ziraldo;Maluquinho por bichos;uma seleção de histórias maluquinhas com mascotes e outros bichos ;Globinho;2013;2
611;Livro;Biblioteca SGA;Lobato, Monteiro, Martins, Cláudio;Histórias de Tia Nastácia;;Globinho;2017;2
612;Livro;Biblioteca SGA;Ziraldo;As aventuras da Professora Maluquinha;;Globinho;2010;2
613;Livro;Biblioteca SGA;Ziraldo;Viagens muito maluquinhas;;Globinho;2015;2
614;Livro;Biblioteca SGA;Ziraldo;Maluquinho pega na mentira;;Globinho;2013;2
615;Livro;Biblioteca SGA;Ziraldo;Maluquinho por arte;hsitórias em que a Turma pinta e borda;Globinho;2010;2
616;Livro;Biblioteca SGA;Ziraldo;Maluquinho pelo mundo;;Globinho;2012;2
617;Livro;Biblioteca SGA;Ziraldo;A panela do Menino Maluquinho;;Globinho;2010;2
618;Livro;Biblioteca SGA;Ziraldo;Três vezes Maluquinho;;Globinho;2011;2
619;Livro;Biblioteca SGA;Ziraldo;Maluquinho por festas;as melhores baladas dos quadrinhos do Menino Maluquinho;Globinho;2009;2
620;Livro;Biblioteca SGA;Ziraldo;Grande Junim;histórias do maior baixinho da Turma do Menino Maluquinho;Globinho;2012;2
621;Livro;Biblioteca SGA;Ziraldo;Histórias da Carolina;A menina sonhadora que quer mudar o mundo;Globinho;2007;2
622;Livro;Biblioteca SGA;Ziraldo;Coisas de menina;histórias que revelam o que é ser Menina Maluquinha;Globinho;2011;2
623;Livro;Biblioteca SGA;Ziraldo;Descobertas da Nina;histórias e travessuras da caçulinha da Turma do Maluquinho;Globinho;2011;2
624;Livro;Biblioteca SGA;Ziraldo;A turma do Pererê;coisas do coração;Globinho;2009;2
625;Livro;Biblioteca SGA;Ziraldo;A turma do Pererê;365 dias na Mata do Fundão;Globinho;2009;2
626;Livro;Biblioteca SGA;Ziraldo;A turma do Pererê;as manias do Tininim;Globinho;2009;2
627;Livro;Biblioteca SGA;Cury, Augusto;Você é insubstituível;este livro revela a sua biografia;Sextante ;2018;2
628;Livro;Biblioteca SGA;Abrano, Sandra;Vestígios;mortes nem um pouco naturais;Bandeirola;2018;3
629;Livro;Biblioteca SGA;Lasky, Katheryn;A lenda dos guardiões;o guia da grande árvore Ga'Hoole;Fundamento Editora;2014;2
630;Livro;Biblioteca SGA;Lasky, Katheryn;A lenda dos guardiões 12 ;a árvore dourada ;Fundamento Editora;2013;2
631;Livro;Biblioteca SGA;Lasky, Katheryn;A lenda dos guardiões 11;ser rei;Fundamento Editora;2013;2
632;Livro;Biblioteca SGA;Lobato, Monteiro, Guazzelli;O saci;;Globinho;2016;3
633;Livro;Biblioteca SGA;Lobato, Monteiro, Guazzelli;Memórias da Emília;;Globinho;2016;3
634;Livro;Biblioteca SGA;Lobato, Monteiro, Eich, Cris;Os doze trabalhos de Hércules 2;;Globinho;2018;2
635;Livro;Biblioteca SGA;Lobato, Monteiro, Eich, Cris;Os doze trabalhos de Hércules 1;;Globinho;2018;1
636;Livro;Biblioteca SGA;Lobato, Monteiro, Guazzelli;A chave do tamanho;;Globinho;2016;1
637;Livro;Biblioteca SGA;Lobato, Monteiro;Reinações de Narizinho;;Globo;2014;3
638;Livro;Biblioteca SGA;Lobato, Monteiro;Reinações de Narizinho;;Globinho;2016;2
639;Livro;Biblioteca SGA;Austen, Jane;Mansfield Park;;Martin Claret;2018;2
642;Livro;Biblioteca SGA;Lobato, Monteiro;Ideias de Jeca Tatu;;Globo;2009;2
643;Livro;Biblioteca SGA;Lobato, Monteiro;Literatura do Minarete;;Globo;2009;2
644;Livro;Biblioteca SGA;Lobato, Monteiro;Urupês;;Globo;2009;2
645;Livro;Biblioteca SGA;Lobato, Monteiro;O macaco que se fez homem;;Globo;2010;2
646;Livro;Biblioteca SGA;Lobato, Monteiro;O presidente negro;;Globo;2009;2
647;Livro;Biblioteca SGA;Lobato, Monteiro, Rangel, Godofredo;A barca de Gleyre;;Globo;2010;2
648;Livro;Biblioteca SGA;Lobato, Monteiro, Rangel, Godofredo;Cartas de amor;;Globo;2011;2
