CODIGO;TIPO;LOCALIDADE;AUTORES;TITULO;SUBTITULO;EDITORA;ANO;QTD_EXEMPLARES
883;Livro;Biblioteca SGA;Müller, Pat;As Estrelas Sempre Brilham Acima das Nuvens Escuras;;Mundo Cristão;2024;1
884;Livro;Biblioteca SGA;Barnes, Jennifer Lynn;Jogos de herança 1;;Globo Alt;2021;1
885;Livro;Biblioteca SGA;Vasconcelos, José Mauro, Cortez, Jayme, Cardon, Laurent;O meu pé de laranja lima;história de um meninozinho que um dia descobriu a dor...;Melhoramentos;2019;2
886;Livro;Biblioteca SGA;Riordan, Rick;O ladrão de raios;;Intrínseca;2023;2
887;Livro;Biblioteca SGA;Riordan, Rick;O mar de monstros;;Intrínseca;2023;2
888;Livro;Biblioteca SGA;Riordan, Rick;A maldição do titã;;Intrínseca;2023;2
889;Livro;Biblioteca SGA;Riordan, Rick;a batalha do labirinto;;Intrínseca;2023;2
890;Livro;Biblioteca SGA;Riordan, Rick;O último olimpiano;;Intrínseca;2023;1
891;Livro;Biblioteca SGA;Palacio, Raquel Jaramillo;Extraordinário;;Intrínseca;2013;2
892;Livro;Biblioteca SGA;Burnett, Frances Hodgson;O jardim secreto;;Martin Claret;2017;1
893;Livro;Biblioteca SGA;Lloyd, Christopher , Fiuza, Bruno;Enciclopédia britânica para curiosos, volume 1;;Sextante ;2024;1
894;Livro;Biblioteca SGA;Lloyd, Christopher , Fiuza, Bruno;Enciclopédia britânica para curiosos, volume 2;;Sextante ;2024;1
895;Livro;Biblioteca SGA;Thenório, Iberê, Lua, Nina;Experimentos ao ar livro com o Manual do Mundo;;Sextante ;2021;1
896;Livro;Biblioteca SGA;;Bússula;uma visão clássica sobre virtude, maturidade e sabedoria;EBV Editora;2025;1
897;Livro;Biblioteca SGA;Marinho, João Carlos;O gênio do crime;uma aventura da turma do gordo;Globo;2009;2
898;Livro;Biblioteca SGA;;Princesa adormecida;;Galera Record;2024;1
899;Livro;Biblioteca SGA;Dostoievski, Fiodor, Almeida, Oleg;Crime e castigo;;Martin Claret;2020;1
900;Livro;Biblioteca SGA;Druon, Maurice;O menino do dedo verde;;José Olympio;2025;1
901;Livro;Biblioteca SGA;Thenório, Iberê, Publishing, Workman, Brown, Matthew , Pearce, Chris, Biasi, Cláudio;O grande livro de Biologia do Manual do Mundo;anotações incríveis e divertidas para você aprender sobre plantas, animais, o corpo humano e o funcionamento da vida;Sextante ;2025;1
902;Livro;Biblioteca SGA;Thenório, Iberê, Publishing, Workman, Pearce, Chris, Biasi, Cláudio;O grande livro de Química do Manual do Mundo;anotações incríveis e divertidas para você aprender sobre átomos, moléculas e reações químicas;Sextante ;2025;1
903;Livro;Biblioteca SGA;;Planejando o trabalho em grupo;;Penso;2017;1
904;Livro;Biblioteca SGA;Painter, Lynn;Melhor do que nos filmes;;Intrínseca;2023;2
905;Livro;Biblioteca SGA;Painter, Lynn;Não é como nos filmes;;Intrínseca;2023;1
906;Livro;Biblioteca SGA;;Os mistérios do universo;;Sextante ;2024;1
907;Livro;Biblioteca SGA;Tibballs, Geoff, Wiltshire, Jo;Ripley's: Acredite se quiser!;espere o inerperado;Ediouro ;2008;1
908;Livro;Biblioteca SGA;Bradbury, Ray, Knipel, Cid;Fahrenheit 451;a temperatura na qual o papel do livro pega fogo e queima;Globo;2020;5
909;Livro;Biblioteca SGA;Kafka, Franz;A metamorfose;;Martin Claret;2022;1
910;Livro;Biblioteca SGA;Orwwll, George;A revolução dos bichos;um conto de fadas;CJA Edições;2007;1
911;Livro;Biblioteca SGA;Riordan, Rick, Alonso, Giu, Teixeira, Ulisses;A filha das profundezas;;Intrínseca;2021;1
912;Livro;Biblioteca SGA;Cabot, Meg;O diário da princesa;;Galera Record;2025;1
913;Livro;Biblioteca SGA;PIMENTA , Paula, Dewey, Babi, Vieira, Bruna, Rebouças, Thalita;Um ano inesquecivel;;Gutenberg;2023;1
914;Livro;Biblioteca SGA;Thenório, Iberê, Publishing, Workman, Brown, Matthew , Pearce, Chris, Biasi, Cláudio;O grande livro de Ciências do Manual do Mundo;Anotações incríveis e divertidas para você aprender sobre a vida, o universo e tudo mais;Sextante ;2025;1
915;Livro;Biblioteca SGA;Thenório, Iberê, Publishing, Workman, Brown, Matthew , Pearce, Chris, Biasi, Cláudio;O grande livro de História do Manual do Mundo;Anotações incríveis e divertidas para você aprender sobre as pessoas e os eventos que;Sextante ;2025;1
916;Livro;Biblioteca SGA;Thenório, Iberê, Publishing, Workman, Brown, Matthew , Pearce, Chris, Biasi, Cláudio;O grande livro de Matemática do Manual do Mundo;Anotações incríveis e divertidas para você aprender sobre o intrigante universo dos números e das formas geométricas;Sextante ;2025;1
917;Livro;Biblioteca SGA;Kupstas, Marcia;Fronteiras;;FTD;2020;1
918;Livro;Biblioteca SGA;Lewis, C. S., Baynes, Pauline, Kyemse, Ronald;O sobrinho do mago;;Harper Collins Publisher;2023;2
919;Livro;Biblioteca SGA;Lewis, C. S., Baynes, Pauline, Kyemse, Ronald;O leão, a feiticeira e o guarda-roupa;;Harper Collins Publisher;2023;2
920;Livro;Biblioteca SGA;Lewis, C. S., Baynes, Pauline, Kyemse, Ronald;O cavalo e seu menino;;Harper Collins Publisher;2023;2
921;Livro;Biblioteca SGA;Lewis, C. S., Baynes, Pauline, Kyemse, Ronald;Príncipe Caspian;;Harper Collins Publisher;2023;2
922;Livro;Biblioteca SGA;Lewis, C. S., Baynes, Pauline, Kyemse, Ronald;A viagem do peregrino da alvorada;;Harper Collins Publisher;2023;2
923;Livro;Biblioteca SGA;Lewis, C. S., Baynes, Pauline, Kyemse, Ronald;A última batalha;;Harper Collins Publisher;2023;2
924;Livro;Biblioteca SGA;Lewis, C. S., Baynes, Pauline, Kyemse, Ronald;A cadeia de prata;;Harper Collins Publisher;2023;2
925;Livro;Biblioteca SGA;Rowling, J. K, Wyler, Lia, GrandPré, Mary de;Harry Potter;e a pedra filosofal;Rocco;2015;2
926;Livro;Biblioteca SGA;Rowling, J. K, Wyler, Lia, GrandPré, Mary de;Harry Potter;e a câmara secreta;Rocco;2015;2
927;Livro;Biblioteca SGA;Rowling, J. K, Wyler, Lia, GrandPré, Mary de;Harry Potter;e o prisioneiro de Azkaban;Rocco;2015;2
928;Livro;Biblioteca SGA;Rowling, J. K, Wyler, Lia, GrandPré, Mary de;Harry Potter;e o cálice de fogo;Rocco;2015;2
929;Livro;Biblioteca SGA;Rowling, J. K, Wyler, Lia, GrandPré, Mary de;Harry Potter;e a ordem da fênix;Rocco;2015;2
930;Livro;Biblioteca SGA;Rowling, J. K, Wyler, Lia, GrandPré, Mary de;Harry Potter;e o enigma do príncepe;Rocco;2015;2
931;Livro;Biblioteca SGA;Rowling, J. K, Wyler, Lia, GrandPré, Mary de;Harry Potter;e oas relíquias da morte;Rocco;2015;2
932;Livro;Biblioteca SGA;Kinney, Jeff, Soares, Antonio de Macedo;Diário de um banana;;Vergara & Riba;2008;1
933;Livro;Biblioteca SGA;Kinney, Jeff, Boide, Alexandre;Diario de um banana;bons tempos;Vergara & Riba;2016;1
934;Livro;Biblioteca SGA;Kinney, Jeff, Soares, Antonio de Macedo;Diário de um banana;Rodrick é o cara;Vergara & Riba;2008;1
935;Livro;Biblioteca SGA;Kinney, Jeff, Soares, Antonio de Macedo;Diário de um banana;a gota d'água;Vergara & Riba;2012;1
936;Livro;Biblioteca SGA;Kinney, Jeff, Soares, Antonio de Macedo;Diário de um banana;dias de cão;Vergara & Riba;2012;1
937;Livro;Biblioteca SGA;Kinney, Jeff, Soares, Antonio de Macedo;Diário de um banana;a verdade nua e crua;Vergara & Riba;2012;1
938;Livro;Biblioteca SGA;Kinney, Jeff, Soares, Antonio de Macedo;Diário de um banana;casa dos horrores;Vergara & Riba;2012;1
939;Livro;Biblioteca SGA;Kinney, Jeff, Soares, Antonio de Macedo;Diário de um banana;segurando vela;Vergara & Riba;2012;1
940;Livro;Biblioteca SGA;Kinney, Jeff, Soares, Antonio de Macedo;Diário de um banana;maré de azar;Vergara & Riba;2012;1
941;Livro;Biblioteca SGA;Kinney, Jeff, Soares, Antonio de Macedo;Diário de um banana;caindo na estrada;Vergara & Riba;2012;1
942;Livro;Biblioteca SGA;Ernshan, Shea;O bosque das coisas perdidas;;Galera Record;2024;1
943;Livro;Biblioteca SGA;McManus, Karen M.;Mortos não contam segredos;;Galera Record;2024;1
944;Livro;Biblioteca SGA; Lockhart, E.;Mentirosos;;Seguinte;2014;1
945;Livro;Biblioteca SGA;McManus, Karen M.;Um de nós está mentindo;;Galera Record;2025;1
946;Livro;Biblioteca SGA;Mele, Dana;Garotas como nós;;Universo dos livros;2018;1
947;Livro;Biblioteca SGA;JACKSON, Holly;Manual de assassinato para boas garotas;;Intrínseca;2022;1
953;Livro;Biblioteca SGA;Saint-Exupery, Antoine de;O pequeno príncipe;;Faria e Silva Editora;2021;2
954;Livro;Biblioteca SGA;Pounder, Sibéal;Puxa, que bruxa! ;a confusão do feitiço;Ciranda Cultural;2019;1
955;Livro;Biblioteca SGA;Pounder, Sibéal;Puxa, que bruxa! ;ameaça colorida;Ciranda Cultural;2019;1
956;Livro;Biblioteca SGA;Pounder, Sibéal;Puxa, que bruxa! ;guerras bruxônicas;Ciranda Cultural;2019;1
957;Livro;Biblioteca SGA;Pounder, Sibéal;Puxa, que bruxa! ;o sumiço;Ciranda Cultural;2019;1
958;Livro;Biblioteca SGA;Lu, Marie;Estrela nas sombras;;Intrínseca;2023;1
959;Livro;Biblioteca SGA;Palhares, Paulo César ;Lunimios;a vitória dos exilados;CJA Edições;2016;1
960;Livro;Biblioteca SGA;Feth, Monika, Boratynski, Antoni , Heidemann, Dieter ;O catador de pensamentos;;Brinque-book;1996;2
